user_num,user_pwd,user_role
2003000034,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P1pEYXa,1
2006000102,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P2pEYXa,1
2006000083,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P3pEYXa,1
2009000022,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P4pEYXa,1
2001000035,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P5pEYXa,1
2006000081,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P6pEYXa,1
2003000038,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P7pEYXa,1
2002000028,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P8pEYXa,1
2008000027,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P9pEYXa,1
2005000039,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P10pEYXa,1
2004000027,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P11pEYXa,1
2003000039,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P12pEYXa,1
2006000058,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P13pEYXa,1
20172281,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P14pEYXa,2
20182289,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P15pEYXa,2
20182410,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P16pEYXa,2
20162020,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P17pEYXa,2
20161993,$2b$12$v/KnTIFlCBeWeRdvy9NP..aZ6wE2ejWEh7kjjWSc/bVO9.P18pEYXa,2
